210430-102349_wal_5f2_elicit_21|iitati bulqquwaanne urqqaa pude pushakkiya woppu gaanaukka danddayenna abbaa beetaa mala
210430-102349_wal_5f2_elicit_22|Ta Xoossai Iitatussi saroi baawa yaagees
210430-102349_wal_5f2_elicit_23|Ne qaalaa xoqqu oottada waassa
210430-102349_wal_5f2_elicit_24|Ne cenggurssaa malkkataagaadan xoqqissa
210430-102349_wal_5f2_elicit_25|Ta asaassi eta makkalaa Yaaqooba keettaa asaassikka eta nagaraa yoota
210430-103209_wal_5f2_elicit_0|SHin eti tana hachchi hachchi koyoosona
210430-103209_wal_5f2_elicit_1|ta ogiyaakka kaallanau dosiyaabaa milatoosona
210430-103209_wal_5f2_elicit_2|Xillobaa oottida kawotettadaaninne Xoossaa azazuwaa olibeenna
210430-103209_wal_5f2_elicit_3|eti tana suure pirddaa oichchoosona
210430-103209_wal_5f2_elicit_4|taakko Xoossaakko shiiqanaukka dosoosona yaagees
210430-103209_wal_5f2_elicit_5|Eti shiiqidi GODAA Nuuni xoomida
210430-103209_wal_5f2_elicit_6|neeni aibissi nuna xeellabeikkii Nuuni nunatettaa kaushshida
210430-103209_wal_5f2_elicit_7|neeni nuna aibissi erabeikkii yaagoosona
210430-103209_wal_5f2_elicit_8|GODAI zaaridi eta hagaadan yaagees
210430-103209_wal_5f2_elicit_9|Be7ite intte xoomiyo gallassi inttena ufaissiyaabaa ootteeta
210430-103209_wal_5f2_elicit_10|intte oosanchcha ubbaa huqqunneeta
210430-103209_wal_5f2_elicit_11|Be7ite intte ooshshaunne waretau xoomeeta
210430-103209_wal_5f2_elicit_12|Hachchi intte xoomiyo hagaa mala xooma
210430-103209_wal_5f2_elicit_13|Qassi taani koyiyo xoomai asi ba huuphiyaa ceeccaadan duge hokissiyoogeeyye
210430-103209_wal_5f2_elicit_14|Bidinttaa tisttidi waaruwaa hiixxidi zin77iyoogeeyye
210430-103209_wal_5f2_elicit_15|huqqunnettidaageeta huqqunnuwaappe kessiyoogaanne qambbara ubbaa menttiyoogaa
210430-103209_wal_5f2_elicit_16|maizziyoogaa maaduwaa koyiya intte dabbuwaappe intte sinttaa genttennan aggiyoogaa
210430-103209_wal_5f2_elicit_17|Yaatikko intte poo7oi maallado xalqqiyaadan poo7ana
210430-103209_wal_5f2_elicit_18|intte paxatettaikka eesuwan yaana
210430-103209_wal_5f2_elicit_19|Intte xillotettai intteppe sinttaara baana
210430-103209_wal_5f2_elicit_20|GODAA bonchchoikka intteppe guyyeera gididi inttena naagana
210430-103209_wal_5f2_elicit_21|He wode intte xeesana xeesin GODAI intteyyo koyana
210430-103209_wal_5f2_elicit_22|Intte maaduwaa ekkanau waassana
210430-103209_wal_5f2_elicit_23|waassin GODAI Hekko taani hagan de7ais yaagana
210430-103209_wal_5f2_elicit_24|he wode intte poo7oi xuman poo7ana intte qammaikka seeta gallassa gidana
210430-103209_wal_5f2_elicit_25|GODAI inttena ubbatoo kaalettana
210430-103209_wal_5f2_elicit_26|inttena mela bazzuwan koshshiyaabaakka i inttiyo kunttana
210430-103209_wal_5f2_elicit_27|Intte bollaa xaphuwaakka minttana
210430-104016_wal_5f2_elicit_2|Qassikka GODAI hagaadan yaagees
210430-104016_wal_5f2_elicit_3|he wode intte GODAN ufaittana
210430-104016_wal_5f2_elicit_4|Qassi taani inttena daro bonchchettidaageeta oottana
210430-104016_wal_5f2_elicit_5|intte maanaadan taani inttena oottana
210430-104016_wal_5f2_elicit_6|Taani GODAI hagaa haasayaas yaagees
210430-104016_wal_5f2_elicit_7|Be7ite GODAA kushee inttena ashshanau qaammibeenna
210430-104016_wal_5f2_elicit_8|a haittaikka siyennan ixxanau tullibeenna
210430-104016_wal_5f2_elicit_9|intteppenne intte Xoossaappe gidduwan shaahotettaa medhdhiis
210430-104016_wal_5f2_elicit_10|Qassi i siyenna mala intte nagarai a sinttaa intteppe genttiis
210430-104016_wal_5f2_elicit_11|intte kushee suuttan intte biradhdheekka naaquwan tuniis
210430-104016_wal_5f2_elicit_12|intte doonai wordduwaa haasayees
210430-104016_wal_5f2_elicit_13|intte inxxarssaikka iitabaa zuuzummees
210430-104016_wal_5f2_elicit_14|Eti mela palaman ceeqettoosona
210430-104016_wal_5f2_elicit_15|Eti shooshshaa phuuphulliyaa qoxoosona
210430-104016_wal_5f2_elicit_16|shararootiyaa keettaakka eti keexxoosona
210430-104016_wal_5f2_elicit_17|Eta phuuphulleta miya asi haiqqees
210430-104016_wal_5f2_elicit_18|phuuphulliyaappe issoi me77ikko shooshshai a giddoppe kiyees
210430-104016_wal_5f2_elicit_19|Eti keexxido shararoote keettai maayanau eta go77enna
210430-104016_wal_5f2_elicit_20|Eti bantta medhdhidoogan banttana kammokkona
210430-104016_wal_5f2_elicit_21|makkala oosoi eta kushiyan de7ees
210430-104016_wal_5f2_elicit_22|Eta tohoti iitabaa oottanau woxxoosona
210430-104016_wal_5f2_elicit_23|xilluwaa suuttaa gussanaukka jaamoosona
210430-104016_wal_5f2_elicit_24|Eta qofai iita qofa
210430-104016_wal_5f2_elicit_25|Eti biido soho ubban qohoinne bashshai de7ees
210430-104016_wal_5f2_elicit_26|Eti sarotettaa ogiyaa erokkona
210430-104016_wal_5f2_elicit_27|eti biyo ogiyan suure pirddi baawa
210430-104016_wal_5f2_elicit_28|eti bantta ogiyaa geellayidosona
210430-104016_wal_5f2_elicit_29|he ogetuura hemettiya ooninne sarotettaa erenna
210430-104016_wal_5f2_elicit_30|Hegaa gishshau suure pirddai nuuppe haakkiis
210430-104016_wal_5f2_elicit_31|Nuuni aifee bainna qooqedan dirssaa gimbbiyaakko tattaafoos
210430-104016_wal_5f2_elicit_32|Sa7ai lem77in hemettiyaabaadan seeta gallassi xubettoos
210430-104016_wal_5f2_elicit_33|kumetta wolqqaara de7iya asatu giddon nuuni haiqqida asatu mala gidida
